Name,Unlock Requirement,Unlock Method,Key Item/Quest,Main Rewards
Calico Desert,Repair bus via Vault bundles (Community Center) or Joja route,Bus repair,Vault bundles / Joja Bus Repair,"Access to Desert, Oasis shop, Foraging, Skull Cavern access"
Skull Cavern,Obtain Skull Key and access via Desert,Key unlock,Skull Key,"Deeper mining, Iridium, end-game loot"
Ginger Island,Repair Willy’s boat (after Community Center completion),Boat repair,Island Resort Questline,"New map, Volcano Dungeon, Golden Walnuts, crop system"
Railroad & Spa,"Unlocked automatically after earthquake (Summer 3, Year 1)",Story event,None,"Access to Railroad, Spa (energy restore)"
Secret Woods,Break large log in Cindersap Forest with Steel Axe or better,Tool upgrade,Steel Axe or higher,"Hardwood, Secret Woods forage, Slimes"
Sewers & Krobus Shop,Donate 60 items to Museum to get Rusty Key,Museum milestone,Rusty Key,"Krobus shop, Void Eggs, rare items"
Quarry & Quarry Mine,Complete Crafts Room bundles to repair bridge,Community Center completion,Crafts Room bundles,"Quarry mining area, ores, gems"
Casino,Complete 'Mysterious Qi' questline to obtain Club Card,Questline,Club Card / Mysterious Qi,"Casino games, Qi Coins, rare rewards"
Mastery Cave,Reach level 10 in all five skills,Skill progression,Mastery points,"Skill mastery upgrades, endgame content"
Dwarf Merchant,Donate all 4 Dwarf Scrolls to Museum for Dwarvish Translation Guide,Museum milestone,Dwarvish Translation Guide,Dwarf shop in Mines / Volcano
Wizard Tower (Junimo language),Complete 'Meet the Wizard' quest,Questline,Forest Magic scroll,"Read Junimo language, unlock bundles"
Movie Theater,Complete Joja route (2nd upgrade) or Community Center,Endgame build,Joja route / CC completion,"Movies, social bonuses"
Mutant Bug Lair,Progress through Wizard / Krobus questline,Questline,Dark Talisman / Magic Ink quests,"Bug Lair, new monsters"
Witch's Swamp,Complete Dark Talisman and Magic Ink quests,Questline,Magic Ink,"Wizard building unlocks, Witch’s Hut"
Witch's Hut,After reaching Witch’s Swamp,Questline,Magic Ink quest,"Statue respecs, child management, teleport obelisks"
Adventurer's Guild,Receive letter after entering Mines (day after),Story event,None,"Weapon sales, monster eradication rewards"
Community Center,"Meet Wizard, receive 'Rat Problem' quest",Story event,Rat Problem quest,"Bundle rewards, town revitalization"
Joja Warehouse,Purchase Joja Membership,Purchase,Joja Membership,"Joja upgrades, alternative unlocks to CC"
Greenhouse,Complete Pantry bundles or Joja upgrade,Community Center completion,Pantry bundles / Joja upgrade,Year-round farming inside Greenhouse
Beach Bridge (East Beach),Repair with 300 wood,Material repair,300 wood,"Tide pools, coral foraging"
Boat to Ginger Island,"Complete Community Center or Joja route, repair Willy’s boat",Questline,Willy’s boat repair,Travel to Ginger Island
Island Dock & Base Camp,Arrive on Ginger Island,Automatic,None,Base camp with chest and campfire
Jungle & Leo's Hut,Clear vines east of dock,Exploration,None,"Meet Leo, start parrot system"
Parrot Express,Spend 10 Golden Walnuts,Walnut trade,Golden Walnuts,Fast travel between island regions
Volcano Dungeon Entrance,Clear lava north of base camp,Exploration,None,Access Volcano Dungeon
Volcano Dungeon (Interior),Spend 1 Golden Walnut at gate,Walnut gate,Golden Walnuts,"Dungeon levels, combat, loot"
Volcano Forge Room,Reach floor 10 of Volcano Dungeon,Dungeon progression,None,Enchant and upgrade tools/weapons using Cinder Shards
Dwarf Shop (Volcano Forge),Reach Forge Room,Dungeon progression,Dwarvish Translation Guide (for dialogue),Buy special items and recipes
Island Farmhouse (Upgrade 1),Spend 20 Golden Walnuts,Walnut trade,Golden Walnuts,Sleep and cook on island
Island Farmhouse� Farm (Upgrade 2),Spend 20 more Walnuts,Walnut trade,Golden Walnuts,Unlock Island Farm and crops
Island Farm Crops,Buy seeds from Island Trader,Trade,Island Trader,"Grow crops year-round, no watering"
Island Trader,Spend 10 Golden Walnuts,Walnut trade,Golden Walnuts,Trade rare and cosmetic items
Resort Rebuild,Spend 20 Golden Walnuts,Walnut trade,Golden Walnuts,Villagers can visit the island
Professor Snail's Tent,Free Snail from boulder near Volcano,Quest,Pickaxe or explosives,Unlock fossil collection and survey quests
Island Field Office,Rescue Professor Snail,Questline,Fossil donations,"Fossil exhibits, Golden Walnut rewards"
Gem Bird Shrines,Observe Gem Birds in different regions,Puzzle,None,Golden Walnuts and secret shrine reward
Qi's Walnut Room,Collect 100 Golden Walnuts,Milestone,Golden Walnuts,"Qi Challenges, Qi Gem Shop"
Qi Challenges,Access Qi’s Room,Questline,Qi Gems,"Unique rewards, endgame difficulty challenges"
Pirate Cove,Spend 20 Golden Walnuts,Walnut trade,Golden Walnuts,"Pirate nights, rare fish, treasure"
Mermaid Puzzle,Complete musical puzzle at Pirate Cove,Puzzle,None,5 Golden Walnuts
Island Obsidian Shortcut,Spend 5 Golden Walnuts,Walnut trade,Golden Walnuts,Shortcut between Farm and Volcano
Weather Station,Unlock Island Farm,Feature unlock,None,Control island weather for farming
Leo's Return to Town,Complete Leo’s friendship and questline,Friendship,Leo storyline,Leo moves to Pelican Town
Parrot Hut (Walnut Tracker),Unlocked with farm upgrades,Progression,Golden Walnuts,Displays remaining walnuts count
